YTID	label
_oDTEjyE75U_40000	Vacuum cleaner
5A-8VUzAC1M_180000	Music
2sfvzpI4MPE_50000	Heavy engine (low frequency)
M6w5HD8YIsY_60000	Whistling
4IEpPBzMCN4_10000	Water
P7iCWCsKVzg_260000	Music
kgMATqOX8_M_30000	Vehicle
GeEqIwqjlr4_30000	Animal
OwSQEb9n3IM_20000	Vehicle
GLbu6ssInMw_70000	Bird
6vttZ3nZxnM_30000	Female singing
C-oATXC11xI_30000	Siren
G72oCSlXZvk_0	Siren
fFdyzV93Lt4_24000	Whistling
CpA6FbrtVgg_30000	Inside, large room or hall
0-W_p6LfFn4_20000	Vehicle
-bXWwiG1sWA_30000	Vehicle
EYVF4ptcABY_0	Female singing
RR542zToeeU_160000	Vehicle
LROypNZgg30_40000	Snoring
6JCN52OK-1Y_20000	Whack, thwack
8cRZqMYAOI0_30000	Speech
UdwX_RHJwpI_30000	Siren
JO5IhfFvprE_50000	Inside, small room
8DqBfdK7rO0_20000	Music
8CUoibuN-fE_70000	Inside, small room
8SMR8jkxl0I_30000	Heavy engine (low frequency)
4H5p1W_oS9g_160000	Water
RMnxoHHRKns_60000	Laughter
IukZGCryw90_60000	Silence
XftMCb6LWBI_20000	Animal
4ATLujKZxHw_30000	Car passing by
GiLNkkO2ok0_0	Crowd
X4eN59vceBI_180000	Vacuum cleaner
-8ebLEaeRNI_30000	Siren
9O_rzi6t2Pw_30000	Printer
-27ZU8ddLGg_30000	Speech
-0v9oZdbPQM_30000	Music
2LmcomYBRtc_10000	Silence
HNT376mVdeM_330000	Music
4nK9l8Fv2wA_30000	Printer
07nFY0zE2SQ_40000	Laughter
32DbqKToYDQ_30000	Siren
EVuntX7d3Ro_30000	Silence
URgsqNY2lPk_30000	Siren
4bAjmXz9yxI_30000	Female singing
HoO07sydAZI_30000	Speech
ATxSRYTHfgA_30000	Fireworks
3H-9jtK3ugc_30000	Female singing
ADfz9q_h5Jc_520000	Printer
5T167-AjrDI_30000	Music
KqvCl63BgQs_30000	Speech
-wkt9v32kPk_30000	Whack, thwack
Ejx3jTRD_ME_30000	Heavy engine (low frequency)
SFdrwd-TX4s_290000	Whack, thwack
Dctrjaz-fh0_20000	Snoring
imZqDOWtmXI_110000	Child speech, kid speaking
04KXXe_j0O4_450000	Silence
ABr4Q_ecoPw_160000	Music
ECUTuqj5Id8_30000	Female singing
2A1Y_RAtAiU_30000	Vehicle
IZFXnHlsITs_50000	Siren
5o_EYD_obd4_0	Inside, small room
A7UR69GF8ew_80000	Child speech, kid speaking
1Qza0VhVl6g_22000	Inside, small room
F437UcKKw1s_100000	Water
Yt2qogRofnk_30000	Engine
8s9e6flxoM4_30000	Laughter
Wt2DcRW6r-M_30000	Inside, small room
L0kQ5muUqyk_30000	Crowd
08_18kLhxlo_30000	Vehicle
NuFodvW88fo_30000	Snoring
21CuEsHNLTU_30000	Animal
-01ys2vPbBQ_30000	Animal
A7Vaj0qJ8Js_20000	Gunshot, gunfire
D6GmF83LIrA_50000	Engine
cDC_SS9Dwks_10000	Snoring
KXn7InqM3yo_30000	Crowd
X507dSGB7k8_120000	Crowd
CwH70j-V70s_140000	Snoring
-BOQfm7umN0_270000	Animal
YnX16u4oopI_530000	Child speech, kid speaking
57X5NS3wP48_40000	Speech
Dqn9dnv5KuA_9000	Animal
CSGQRD0EGQs_30000	Printer
gmO1JQsZD6k_50000	Laughter
